sheet,id,class,subclass,variable,calculated
sheet2,malu_idomestic_b,MANAGED NON_CONVENTIONAL,Indoor domestic,beneficial,FALSE
sheet2,malu_iiindustry_b,MANAGED NON_CONVENTIONAL,Indoor industry,beneficial,FALSE
sheet2,malu_livestock_b,MANAGED NON_CONVENTIONAL,Livestock and husbandry,beneficial,FALSE
sheet2,malu_others2_b,MANAGED NON_CONVENTIONAL,Others,beneficial,FALSE
sheet2,malu_powerandenergy_b,MANAGED NON_CONVENTIONAL,Power and energy,beneficial,FALSE
sheet2,molu_forest_b,MODIFIED,Forest plantations,beneficial,FALSE
sheet2,molu_others_b,MODIFIED,Others,beneficial,FALSE
sheet2,molu_rainfed_b,MODIFIED,Rainfed crops,beneficial,FALSE
sheet2,molu_settlements_b,MODIFIED,Settlements,beneficial,FALSE
sheet2,plu_forest_b,PROTECTED,Forest,beneficial,FALSE
sheet2,plu_glaciers_b,PROTECTED,Glaciers,beneficial,FALSE
sheet2,plu_grasslands_b,PROTECTED,Natural grasslands,beneficial,FALSE
sheet2,plu_waterbodies_b,PROTECTED,Natural water bodies,beneficial,FALSE
sheet2,plu_others_b,PROTECTED,Others,beneficial,FALSE
sheet2,plu_shrubland_b,PROTECTED,Shrubland,beneficial,FALSE
sheet2,plu_wetlands_b,PROTECTED,Wetlands,beneficial,FALSE
sheet2,ulu_forest_b,UTILIZED,Forest,beneficial,FALSE
sheet2,ulu_grasslands_b,UTILIZED,Natural grasslands,beneficial,FALSE
sheet2,ulu_waterbodies_b,UTILIZED,Natural water bodies,beneficial,FALSE
sheet2,ulu_others_b,UTILIZED,Others,beneficial,FALSE
sheet2,ulu_shrubland_b,UTILIZED,Shrubland,beneficial,FALSE
sheet2,ulu_wetlands_b,UTILIZED,Wetlands,beneficial,FALSE
sheet2,agriculture,,,,TRUE
sheet2,beneficial,,,,TRUE
sheet2,economy,,,,TRUE
sheet2,energy,,,,TRUE
sheet2,environment,,,,TRUE
sheet2,et,,,,TRUE
sheet2,evaporation,,,,TRUE
sheet2,interception,,,,TRUE
sheet2,leisure,,,,TRUE
sheet2,non_beneficial,,,,TRUE
sheet2,soil,,,,TRUE
sheet2,transpiration,,,,TRUE
sheet2,water,,,,TRUE
sheet2,malu_et,,,,TRUE
sheet2,malu_t,,,,TRUE
sheet2,molu_et,,,,TRUE
sheet2,molu_t,,,,TRUE
sheet2,plu_et,,,,TRUE
sheet2,plu_t,,,,TRUE
sheet2,ulu_et,,,,TRUE
sheet2,ulu_t,,,,TRUE
sheet2,i.et,,,,TRUE
