sheet,id,class,subclass,variable,calculated
sheet2,malu_powerandenergy_ene,MANAGED NON_CONVENTIONAL,Power and energy,energy,FALSE
sheet2,molu_forest_ene,MODIFIED,Forest plantations,energy,FALSE
sheet2,molu_others_ene,MODIFIED,Others,energy,FALSE
sheet2,molu_rainfed_ene,MODIFIED,Rainfed crops,energy,FALSE
sheet2,molu_settlements_ene,MODIFIED,Settlements,energy,FALSE
sheet2,plu_forest_ene,PROTECTED,Forest,energy,FALSE
sheet2,plu_glaciers_ene,PROTECTED,Glaciers,energy,FALSE
sheet2,plu_grasslands_ene,PROTECTED,Natural grasslands,energy,FALSE
sheet2,plu_waterbodies_ene,PROTECTED,Natural water bodies,energy,FALSE
sheet2,plu_others_ene,PROTECTED,Others,energy,FALSE
sheet2,plu_shrubland_ene,PROTECTED,Shrubland,energy,FALSE
sheet2,plu_wetlands_ene,PROTECTED,Wetlands,energy,FALSE
sheet2,ulu_forest_ene,UTILIZED,Forest,energy,FALSE
sheet2,ulu_grasslands_ene,UTILIZED,Natural grasslands,energy,FALSE
sheet2,ulu_waterbodies_ene,UTILIZED,Natural water bodies,energy,FALSE
sheet2,ulu_others_ene,UTILIZED,Others,energy,FALSE
sheet2,ulu_shrubland_ene,UTILIZED,Shrubland,energy,FALSE
sheet2,ulu_wetlands_ene,UTILIZED,Wetlands,energy,FALSE
sheet2,malu_industry_env,MANAGED CONVENTIONAL,Industry,environment,FALSE
sheet2,malu_crops_env,MANAGED CONVENTIONAL,Irrigated crops,environment,FALSE
sheet2,malu_waterbodies_env,MANAGED CONVENTIONAL,Managed water bodies,environment,FALSE
sheet2,malu_others1_env,MANAGED CONVENTIONAL,Others,environment,FALSE
sheet2,malu_residential_env,MANAGED CONVENTIONAL,Residential,environment,FALSE
sheet2,malu_greenhouses_env,MANAGED NON_CONVENTIONAL,Greenhouses,environment,FALSE
sheet2,malu_idomestic_env,MANAGED NON_CONVENTIONAL,Indoor domestic,environment,FALSE
