CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
OUTFLOW,ET UTILIZED FLOW,Utilized,0.901548907220627,ken,sheet1,2005
OUTFLOW,ET UTILIZED FLOW,Modified,0.30178401145369,ken,sheet1,2005
OUTFLOW,ET UTILIZED FLOW,Managed,0.967614478254558,ken,sheet1,2005
OUTFLOW,ET INCREMENTAL,Manmade,0.0122196220678468,ken,sheet1,2005
OUTFLOW,ET INCREMENTAL,Natural,1.40707618172155,ken,sheet1,2005
OUTFLOW,SURFACE WATER,Main riverstem,2.4465369235,ken,sheet1,2005
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2005
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2005
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2005
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2005
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2005
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2005
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2005
OUTFLOW,OTHER,Other,0,ken,sheet1,2005
OUTFLOW,RESERVED,Commited,0.657021161884768,ken,sheet1,2005
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2005
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2005
INFLOW,PRECIPITATION,Rainfall,17.2611596326259,ken,sheet1,2006
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2006
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2006
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2006
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2006
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2006
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2006
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2006
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2006
INFLOW,OTHER,Desalinized,0,ken,sheet1,2006
STORAGE,CHANGE,Surface storage,-5.42902697816664,ken,sheet1,2006
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2006
OUTFLOW,ET LANDSCAPE,Protected,1.25859505251733,ken,sheet1,2006
OUTFLOW,ET LANDSCAPE,Utilized,2.57769245997432,ken,sheet1,2006
OUTFLOW,ET LANDSCAPE,Modified,2.88591006125377,ken,sheet1,2006
OUTFLOW,ET LANDSCAPE,Managed,0.0887638361711995,ken,sheet1,2006
OUTFLOW,ET UTILIZED FLOW,Protected,0.125255317343802,ken,sheet1,2006
OUTFLOW,ET UTILIZED FLOW,Utilized,0.841368636207335,ken,sheet1,2006
OUTFLOW,ET UTILIZED FLOW,Modified,0.246641003859562,ken,sheet1,2006
OUTFLOW,ET UTILIZED FLOW,Managed,1.49140726233884,ken,sheet1,2006
OUTFLOW,ET INCREMENTAL,Manmade,0.00719505938190377,ken,sheet1,2006
OUTFLOW,ET INCREMENTAL,Natural,1.2132649574107,ken,sheet1,2006
OUTFLOW,SURFACE WATER,Main riverstem,3.80071122775,ken,sheet1,2006
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2006
